Andaman & Nicobar Island,31,64,115,189,281,356,381,399,Total Population
Andhra Pradesh,31115,35983,43503,53551,66508,76210,84581,91702,Total Population
Aruchal Pradesh,,337,468,632,865,1098,1384,1712,Total Population
Assam,8029,10837,14625,18041,22414,26656,31206,35999,Total Population
Bihar,29085,34841,42126,52303,64531,82999,104099,128500,Total Population
Chandigarh,24,120,257,452,642,901,1055,1158,Total Population
Chhattisgarh,7457,9154,11637,14010,17615,20834,25545,32200,Total Population
Delhi,1744,2659,4066,6220,9421,13851,16788,19301,Total Population
Goa,547,590,795,1008,1170,1348,1459,1522,Total Population
Gujarat,16263,20633,26697,34086,41310,50671,60440,70400,Total Population
Harya,5674,7591,10036,12922,16464,21145,25351,28901,Total Population
Himachal Pradesh,2386,2812,3460,4281,5171,6078,6865,7503,Total Population
Jammu & Kashmir,3254,3561,4617,5987,7837,10144,12541,14999,Total Population
Jharkhand,9697,11606,14227,17612,21844,26946,32988,40100,Total Population
Kartaka,19402,23587,29299,37136,44977,52851,61095,69600,Total Population
Kerala,13549,16904,21347,25454,29099,31841,33406,34699,Total Population
Madhya Pradesh,18615,23218,30017,38169,48566,60348,72627,85002,Total Population
Maharashtra,32003,39554,50412,62783,78937,96879,112374,124904,Total Population
Manipur,578,780,1073,1421,1837,2294,2856,3437,Total Population
Meghalaya,606,769,1012,1336,1775,2319,2967,3772,Total Population
Mizoram,196,266,332,494,690,889,1097,1309,Total Population
galand,213,369,516,775,1210,1990,1979,2073,Total Population
Odisha,14646,17549,21945,26370,31660,36805,41974,47099,Total Population
Puducherry,317,369,472,604,808,974,1248,1646,Total Population
Punjab,9161,11135,13551,16789,20282,24359,27743,30501,Total Population
Rajasthan,15971,20156,25766,34262,44006,56507,68548,79502,Total Population
Sikkim,138,162,210,316,406,541,611,658,Total Population
Tamil du,30119,33687,41199,48408,55859,62406,72147,83698,Total Population
Telanga,0,0,0,0,0,0,0,38157,Total Population
Tripura,639,1142,1556,2053,2757,3199,3674,4185,Total Population
Uttar Pradesh,60274,70144,83849,105137,132062,166198,199812,231503,Total Population
Uttarakhand,2946,3611,4493,5726,7051,8489,10086,11700,Total Population
West Bengal,26300,34926,44312,54581,68078,80176,91276,100897,Total Population
Andaman & Nicobar Island,23,49,89,139,206,240,244,,Population in Rural Area
Andhra Pradesh,25695,29709,35100,41063,48621,55401,56362,,Population in Rural Area
Aruchal Pradesh,,337,450,590,754,870,1066,,Population in Rural Area
Assam,7684,10056,13336,16259,19927,23216,26807,,Population in Rural Area
Bihar,27219,32261,38770,47158,57819,74317,92341,,Population in Rural Area
Chandigarh,24,21,24,29,66,92,29,,Population in Rural Area
Chhattisgarh,7093,8392,10430,11952,14550,16648,19608,,Population in Rural Area
Delhi,307,299,419,452,949,945,419,,Population in Rural Area
Goa,477,503,592,685,690,677,552,,Population in Rural Area
Gujarat,11835,15317,19201,23484,27064,31741,34695,,Population in Rural Area
Harya,4705,6283,8263,10095,12409,15029,16509,,Population in Rural Area
Himachal Pradesh,2232,2634,3219,3955,4722,5482,6176,,Population in Rural Area
Jammu & Kashmir,2797,2968,3758,4727,6043,7627,9108,,Population in Rural Area
Jharkhand,8937,10273,11950,14038,17203,20952,25055,,Population in Rural Area
Kartaka,14948,18320,22177,26406,31069,34889,37469,,Population in Rural Area
Kerala,11723,14350,17881,20682,21418,23574,17471,,Population in Rural Area
Madhya Pradesh,15846,19353,24440,29640,36292,44381,52557,,Population in Rural Area
Maharashtra,22802,28391,34701,40789,48396,55778,61556,,Population in Rural Area
Manipur,575,712,931,1045,1332,1718,1736,,Population in Rural Area
Meghalaya,547,652,865,1094,1445,1865,2371,,Population in Rural Area
Mizoram,189,252,295,372,372,448,525,,Population in Rural Area
galand,209,350,465,655,1001,1647,1408,,Population in Rural Area
Odisha,14052,16439,20099,23260,27425,31287,34971,,Population in Rural Area
Puducherry,317,280,273,288,291,326,394,,Population in Rural Area
Punjab,7171,8568,10335,12141,14289,16096,17344,,Population in Rural Area
Rajasthan,13015,16874,21222,27051,33939,43293,51500,,Population in Rural Area
